1,Yuliana Utami,bajragin.laksmiwati@nainggolan.tv,$2y$10$K2waxOUv31VLap0qyB05/.zU3TL4GT8V8BTEWkgVFYTymiHTWQuA2
2,Almira Wahyuni,jmardhiyah@sitompul.co.id,$2y$10$qQSCKmXmMjXr14Mf7UATDehuLCSOdGUpubn9uC0FXL5.eMDt7TcRm
3,Gilang Irawan,karsana68@yahoo.com,$2y$10$3Iqc5Ho6MsW1lnwU1A5kJu3dTYsgPfIS1oE2MBg.BzCgrLX5vsq46
4,Nova Ciaobella Usada,hasanah.unjani@yahoo.com,$2y$10$gOV/ekx5KpCwXIr1FFp5n.wDu4tDDrkx3jtvCTrQsL5/mumW8/Yue
5,Niyaga Thamrin,rjailani@yahoo.co.id,$2y$10$R0OJ0g3BWCfsQQ.Sh2F5G.KZg7Sw.Vql31sjx3PUVU8daT2K4OdhS
6,Daru Santoso,banawa26@yahoo.co.id,$2y$10$SdirCnmGV8cQxY2909Ffy.0gCXqdRTqQjeSJrSuLXiSDcnmW1t5gq
7,Rahmi Palastri,damu92@hasanah.id,$2y$10$7nL.000.B.QTBcINl2JOrORr.Ka7DSzDvB9QENRV7C0RJhXglra8S
8,Drajat Simbolon,najmudin.kariman@gmail.com,$2y$10$neIY4n1qT5/o0jrnv1.f9u6SJcqKYYfJpFUWca6AplRMtaRKi2Dre
9,Alambana Prasetya,putu11@gmail.com,$2y$10$UPYQ9cXQcqc4uFLoiZCb3edXMzH2v80Pzh4R9.HFa5kxucpM7v//e
10,Ridwan Najmudin,gwasita@yahoo.co.id,$2y$10$oBUr0BaxsXp.W1kyH0IGLehMiKj3I.iqrqyK1eHeLWHE3nRYBfJW.
11,Endah Hariyah S.I.Kom,lalita16@wahyuni.com,$2y$10$ZT.vRz.cAJYFU9OjVzs4gOWJC590EdiXN67H318bcvFePWoalkJZu
12,Dodo Latupono,umaya.habibi@yahoo.co.id,$2y$10$Grupr3UIqaRD1bBiMR.K.uUw835TiL9PlE1r8Gd6Zre9anl6VOr.2
13,Syahrini Rahayu,fwinarno@suryatmi.co,$2y$10$EY/bNaeD9NznRGKSNgPgRu4B36OAiwDFE4T73J1HnTMQJJi3E2Y8C
14,Uchita Rahmawati,iswahyudi.najwa@yahoo.co.id,$2y$10$Jf74dV2Gtot01qFS2yOtX./ZozSQfH/pm0bIqBlJ37t6bPOauCyEO
15,Cindy Yuliarti,banawa36@yahoo.com,$2y$10$4wEZ29nF5l08MBj5o56C8uqnC/6Dsyish4rDrIoXPqWeaL.izOEZq
16,Lidya Mardhiyah,padma.yulianti@maulana.desa.id,$2y$10$EGc8a0//9lgHcZjy5lRQR.aCXbAhK7IG9mnRVZuxt09t6dGfniCqy
17,Balangga Rajasa,fsaputra@siregar.tv,$2y$10$KY0jmDWaECSKCDr1TaanJ.RcmrCOa7jKxGpp./VWGD5ABExMK3aHu
18,Lanjar Kuswoyo S.H.,maya87@hastuti.or.id,$2y$10$qkEtu3bA1RJWYnSZ8UuYGOj2zDCoGH2zGxJOBWDNYq6q6CSm08Ddi
19,Kenes Bala Widodo,lmansur@gmail.co.id,$2y$10$dUR6sNkVbCe3uATuJrWDiurdPQBzFyZqG44OnsndPOmrukKGAVnbS
